index;type;minority_decision;majority_decision
2;SAFE;8=>0;8=>1
3;SAFE;8=>0;8=>1
4;SAFE;8=>0;8=>1
5;SAFE;8=>0;8=>1
7;SAFE;8=>0;8=>1
11;SAFE;8=>0;8=>1
12;SAFE;8=>0;8=>1
13;SAFE;8=>0;8=>1
18;SAFE;8=>0;8=>1
21;BORDERLINE;8=>0;8=>1
25;BORDERLINE;8=>0;8=>1
28;OUTLIER;8=>0;8=>1
30;SAFE;8=>0;8=>1
31;SAFE;8=>0;8=>1
32;SAFE;8=>0;8=>1
33;SAFE;8=>0;8=>1
34;SAFE;8=>0;8=>1
35;SAFE;8=>0;8=>1
36;SAFE;8=>0;8=>1
38;BORDERLINE;8=>0;8=>1
39;SAFE;8=>0;8=>1
40;SAFE;8=>0;8=>1
41;SAFE;8=>0;8=>1
42;SAFE;8=>0;8=>1
43;SAFE;8=>0;8=>1
44;RARE;8=>0;8=>1
47;SAFE;8=>0;8=>1
54;SAFE;8=>0;8=>1
57;SAFE;8=>0;8=>1
58;OUTLIER;8=>0;8=>1
59;SAFE;8=>0;8=>1
60;BORDERLINE;8=>0;8=>1
62;SAFE;8=>0;8=>1
64;SAFE;8=>0;8=>1
65;SAFE;8=>0;8=>1
67;SAFE;8=>0;8=>1
68;SAFE;8=>0;8=>1
69;SAFE;8=>0;8=>1
70;SAFE;8=>0;8=>1
73;SAFE;8=>0;8=>1
74;SAFE;8=>0;8=>1
75;SAFE;8=>0;8=>1
76;SAFE;8=>0;8=>1
82;SAFE;8=>0;8=>1
83;SAFE;8=>0;8=>1
84;SAFE;8=>0;8=>1
85;SAFE;8=>0;8=>1
86;BORDERLINE;8=>0;8=>1
87;BORDERLINE;8=>0;8=>1
91;SAFE;8=>0;8=>1
95;SAFE;8=>0;8=>1
96;SAFE;8=>0;8=>1
97;SAFE;8=>0;8=>1
98;SAFE;8=>0;8=>1
99;SAFE;8=>0;8=>1
100;OUTLIER;8=>0;8=>1
101;RARE;8=>0;8=>1
106;BORDERLINE;8=>0;8=>1
112;SAFE;8=>0;8=>1
118;SAFE;8=>0;8=>1
